Subject,Day,Stored68,Price68,Sold68,Predicted68,Stored67,Price67,Sold67,Predicted67,Stored66,Price66,Sold66,Predicted66,Stored65,Price65,Sold65,Predicted65,Stored64,Price64,Sold64,Predicted64,Stored63,Price63,Sold63,Predicted63,Stored62,Price62,Sold62,Predicted62,Stored61,Price61,Sold61,Predicted61,Stored60,Price60,Sold60,Predicted60,Stored59,Price59,Sold59,Predicted59,Stored58,Price58,Sold58,Predicted58,Stored57,Price57,Sold57,Predicted57,Stored56,Price56,Sold56,Predicted56,Stored55,Price55,Sold55,Predicted55,Stored54,Price54,Sold54,Predicted54,Stored53,Price53,Sold53,Predicted53,Stored52,Price52,Sold52,Predicted52,Stored51,Price51,Sold51,Predicted51,Stored50,Price50,Sold50,Predicted50,Stored49,Price49,Sold49,Predicted49,Stored48,Price48,Sold48,Predicted48,Stored47,Price47,Sold47,Predicted47,Stored46,Price46,Sold46,Predicted46,Stored45,Price45,Sold45,Predicted45,Stored44,Price44,Sold44,Predicted44,Stored43,Price43,Sold43,Predicted43,Stored42,Price42,Sold42,Predicted42,Stored41,Price41,Sold41,Predicted41,Stored40,Price40,Sold40,Predicted40,Stored39,Price39,Sold39,Predicted39,Stored38,Price38,Sold38,Predicted38,Stored37,Price37,Sold37,Predicted37,Stored36,Price36,Sold36,Predicted36,Stored35,Price35,Sold35,Predicted35,Stored34,Price34,Sold34,Predicted34,Stored33,Price33,Sold33,Predicted33,Stored32,Price32,Sold32,Predicted32,Stored31,Price31,Sold31,Predicted31,Stored30,Price30,Sold30,Predicted30,Stored29,Price29,Sold29,Predicted29,Stored28,Price28,Sold28,Predicted28,Stored27,Price27,Sold27,Predicted27,Stored26,Price26,Sold26,Predicted26,Stored25,Price25,Sold25,Predicted25,Stored24,Price24,Sold24,Predicted24,Stored23,Price23,Sold23,Predicted23,Stored22,Price22,Sold22,Predicted22,Stored21,Price21,Sold21,Predicted21,Stored20,Price20,Sold20,Predicted20,Stored19,Price19,Sold19,Predicted19,Stored18,Price18,Sold18,Predicted18,Stored17,Price17,Sold17,Predicted17,Stored16,Price16,Sold16,Predicted16,Stored15,Price15,Sold15,Predicted15,Stored14,Price14,Sold14,Predicted14,Stored13,Price13,Sold13,Predicted13,Stored12,Price12,Sold12,Predicted12,Stored11,Price11,Sold11,Predicted11,Stored10,Price10,Sold10,Predicted10,Stored9,Price9,Sold9,Predicted9,Stored8,Price8,Sold8,Predicted8,Stored7,Price7,Sold7,Predicted7,Stored6,Price6,Sold6,Predicted6,Stored5,Price5,Sold5,Predicted5,Stored4,Price4,Sold4,Predicted4,Stored3,Price3,Sold3,Predicted3,Stored2,Price2,Sold2,Predicted2,Stored1,Price1,Sold1,Predicted1,OEHold,OHold,OESold,OSold,MSold,Diff,Tot,Tot0,MDev,MDev0
1, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,0,0,9,7,0,0,10,2,0,0,12,4,0,0,14,10,0,0,14,6,0,0,15,5,0,0,16,9,0,0,17,8,0,0,19,3,0,0,20,4,0,0,22,6,0,0,23,7,0,0,25,5,0,0,27,8,0,0,29,4,0,0,31,4,0,0,33,12,0,0,34,9,0,0,35,4,0,0,35,5,0,0,36,1,0,0,37,4,0,0,39,7,0,0,40,5,0,0,42,11,0,0,43,8,0,0,43,9,0,0,44,6,0,0,46,4,0,0,46,3,0,0,48,10,0,0,49,3,0,0,50,8,0,0,52,5,0,0,52,2,0,0,54,4,0,0,55,7,0,0,56,15,56,56,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,0,16,18,6,0,0,19,5,0,0,21,7,0,0,22,9,0,0,24,3,0,0,25,3,0,0,26,8,0,0,26,3,0,0,27,5,0,0,28,10,28,28,1,6,0,0,2,4,0,0,4,6,4,4,64,65,3,3,67,16,68,1,0.235294118,16
2, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,5,7,4,7,0,0,5,2,0,0,7,4,0,0,9,10,0,0,9,6,0,0,10,5,0,0,11,9,0,0,12,8,0,0,14,3,0,0,15,4,0,0,17,6,0,0,18,7,0,0,20,5,0,0,22,8,0,0,24,4,0,0,26,4,0,0,28,12,0,0,29,9,0,0,30,4,0,0,30,5,0,0,31,1,0,0,32,4,0,0,34,7,0,0,35,5,0,0,37,11,0,0,38,8,0,0,38,9,0,0,39,6,0,0,41,4,0,0,41,3,0,0,43,10,0,0,44,3,0,0,45,8,0,0,47,5,0,0,47,2,0,0,49,4,0,0,50,7,0,0,51,15,51,51,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,2,16,16,6,0,0,17,5,0,0,19,7,0,0,20,9,0,0,22,3,0,0,23,3,0,0,24,8,0,0,24,3,0,0,25,5,0,0,26,10,26,26,1,6,1,0,1,4,0,0,3,6,3,3,62,62,5,6,65,17,68,3,0.25,5.666666667
3, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,2,0,7,7,0,0,8,2,0,0,10,4,0,0,12,10,0,0,12,6,0,0,13,5,0,0,14,9,0,0,15,8,0,0,17,3,0,0,18,4,0,0,20,6,0,0,21,7,0,0,23,5,0,0,25,8,0,0,27,4,0,0,29,4,0,0,31,12,2,0,30,9,0,0,31,4,0,0,31,5,0,0,32,1,0,0,33,4,0,0,35,7,0,0,36,5,0,0,38,11,0,0,39,8,0,0,39,9,0,0,40,6,0,0,42,4,0,0,42,3,0,0,44,10,0,0,45,3,0,0,46,8,0,0,48,5,0,0,48,2,0,0,50,4,0,0,51,7,0,0,52,15,52,52,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,1,0,1,4,0,0,3,6,3,3,61,61,4,7,65,5,68,3,0.073529412,1.666666667
4, ,5,9,2,0,4,5,0,0,4,7,0,0,5,13,5,5,2,7,0,0,3,2,0,0,5,4,0,0,7,10,7,0,0,6,0,0,1,5,0,0,2,9,0,0,3,8,0,0,5,3,0,0,6,4,0,0,8,6,0,0,9,7,0,0,11,5,0,0,13,8,0,0,15,4,0,0,17,4,0,0,19,12,0,0,20,9,0,0,21,4,0,0,21,5,0,0,22,1,0,0,23,4,0,0,25,7,0,0,26,5,0,0,28,11,0,0,29,8,0,0,29,9,0,0,30,6,0,0,32,4,0,0,32,3,0,0,34,10,0,0,35,3,0,0,36,8,0,0,38,5,0,0,38,2,0,0,40,4,0,0,41,7,0,0,42,15,42,42,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,0,0,2,4,0,0,4,6,4,4,61,61,5,7,66,9,67,2,0.134328358,4.5
5, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,5,7,4,7,0,0,5,2,0,0,7,4,0,0,9,10,0,0,9,6,0,0,10,5,0,0,11,9,2,0,10,8,0,0,12,3,0,0,13,4,0,0,15,6,0,0,16,7,0,0,18,5,0,0,20,8,0,0,22,4,0,0,24,4,0,0,26,12,10,0,17,9,0,0,18,4,0,0,18,5,0,0,19,1,0,0,20,4,0,0,22,7,0,0,23,5,0,0,25,11,0,0,26,8,0,0,26,9,0,0,27,6,0,0,29,4,0,0,29,3,0,0,31,10,0,0,32,3,0,0,33,8,0,0,35,5,0,0,35,2,0,0,37,4,0,0,38,7,0,0,39,15,39,39,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,0,0,2,4,0,0,4,6,4,4,61,61,5,7,65,14,68,3,0.205882353,4.666666667
6, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,7,7,2,7,0,0,3,2,0,0,5,4,0,0,7,10,0,0,7,6,0,0,8,5,0,0,9,9,0,0,10,8,0,0,12,3,0,0,13,4,0,0,15,6,0,0,16,7,0,0,18,5,0,0,20,8,0,0,22,4,0,0,24,4,0,0,26,12,26,26,3,9,0,0,4,4,0,0,4,5,0,0,5,1,0,0,6,4,0,0,8,7,0,0,9,5,0,0,11,11,11,11,1,8,0,0,1,9,0,0,2,6,0,0,4,4,0,0,4,3,0,0,6,10,6,0,1,3,0,0,2,8,0,0,4,5,0,0,4,2,0,0,6,4,0,0,7,7,0,0,8,15,8,8,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,0,0,2,4,0,0,4,6,4,4,60,60,7,8,67,6,68,1,0.088235294,6
7, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,3,7,6,7,0,0,7,2,0,0,9,4,0,0,11,10,0,0,11,6,0,0,12,5,0,0,13,9,0,0,14,8,0,0,16,3,0,0,17,4,0,0,19,6,0,0,20,7,0,0,22,5,0,0,24,8,0,0,26,4,0,0,28,4,0,0,30,12,30,30,3,9,0,0,4,4,0,0,4,5,0,0,5,1,0,0,6,4,0,0,8,7,0,0,9,5,0,0,11,11,5,0,7,8,0,0,7,9,0,0,8,6,0,0,10,4,0,0,10,3,0,0,12,10,0,0,13,3,0,0,14,8,0,0,16,5,0,0,16,2,0,0,18,4,0,0,19,7,0,0,20,15,20,20,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,5,0,5,3,0,0,6,5,0,0,7,10,7,7,1,6,0,0,2,4,0,0,4,6,4,4,60,60,6,8,65,14,68,3,0.205882353,4.666666667
8, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,7,7,2,7,0,0,3,2,0,0,5,4,0,0,7,10,7,7,0,6,0,0,1,5,0,0,2,9,0,0,3,8,0,0,5,3,0,0,6,4,0,0,8,6,0,0,9,7,0,0,11,5,0,0,13,8,0,0,15,4,0,0,17,4,0,0,19,12,19,19,3,9,0,0,4,4,0,0,4,5,0,0,5,1,0,0,6,4,0,0,8,7,0,0,9,5,0,0,11,11,11,11,1,8,0,0,1,9,0,0,2,6,0,0,4,4,0,0,4,3,0,0,6,10,6,6,1,3,0,0,2,8,0,0,4,5,0,0,4,2,0,0,6,4,0,0,7,7,0,0,8,15,8,8,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,0,0,2,4,0,0,4,6,4,4,59,59,9,9,68,0,67,0,0, 
9, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,0,0,9,7,0,0,10,2,0,0,12,4,0,0,14,10,0,0,14,6,0,0,15,5,0,0,16,9,0,0,17,8,0,0,19,3,0,0,20,4,0,0,22,6,0,0,23,7,0,0,25,5,0,0,27,8,0,0,29,4,0,0,31,4,0,0,33,12,0,0,34,9,0,0,35,4,0,0,35,5,0,0,36,1,0,0,37,4,0,0,39,7,0,0,40,5,0,0,42,11,7,0,36,8,0,0,36,9,0,0,37,6,0,0,39,4,0,0,39,3,0,0,41,10,15,0,27,3,0,0,28,8,0,0,30,5,0,0,30,2,0,0,32,4,0,0,33,7,0,0,34,15,34,34,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,2,0,6,3,0,0,7,3,0,0,8,8,3,0,5,3,0,0,6,5,1,0,6,10,6,6,1,6,0,0,2,4,0,0,4,6,4,4,59,59,4,9,63,28,68,5,0.411764706,5.6
10, ,5,9,0,0,6,5,0,0,6,7,0,0,7,13,7,7,2,7,0,0,3,2,0,0,5,4,0,0,7,10,7,7,0,6,0,0,1,5,0,0,2,9,0,0,3,8,0,0,5,3,0,0,6,4,0,0,8,6,0,0,9,7,0,0,11,5,0,0,13,8,0,0,15,4,0,0,17,4,0,0,19,12,19,19,3,9,0,0,4,4,0,0,4,5,0,0,5,1,0,0,6,4,0,0,8,7,0,0,9,5,0,0,11,11,11,11,1,8,0,0,1,9,0,0,2,6,0,0,4,4,0,0,4,3,0,0,6,10,6,6,1,3,0,0,2,8,0,0,4,5,0,0,4,2,0,0,6,4,0,0,7,7,0,0,8,15,8,8,1,3,0,0,1,8,0,0,2,3,0,0,3,4,0,0,5,1,0,0,6,7,0,0,8,8,0,0,9,4,0,0,11,5,0,0,12,7,0,0,14,5,0,0,15,3,0,0,16,12,16,16,2,6,0,0,3,5,0,0,5,7,0,0,6,9,0,0,8,3,0,0,9,3,0,0,10,8,0,0,10,3,0,0,11,5,0,0,12,10,12,12,1,6,0,0,2,4,0,0,4,6,4,4,59,59,9,9,68,0,67,0,0, 
